T,N,S,Full_Ret,Full_AnnRet,Full_MaxDD,Full_Calmar,Bull_Ret,Bull_AnnRet,Bull_MaxDD,Bull_Calmar,RobustScore
10,2,100,33.174572739999974,7.136472107130487,-25.197803821634057,0.2832180200166227,58.16480295800004,38.68859968746601,-18.96169986398527,2.040355029611498,1.337500225773548
10,3,50,29.913237131000002,6.499224811563731,-25.515992483519966,0.2547118171382669,55.982680153999965,37.320891917141296,-18.26314800500406,2.0435081568038247,1.3279896209376014
10,3,100,29.843123755,6.485392288968739,-26.219846759700527,0.2473466892619937,56.403102933999946,37.58482823159961,-17.676097343368223,2.1263080589279966,1.3747235110615954
10,4,50,20.340397559000035,4.5557712649451965,-27.56617783127072,0.16526670084008482,48.733287700000005,32.73710989087151,-17.77699522082321,1.8415434939491158,1.1710327767055033
10,4,100,20.613287936000013,4.612770581027736,-28.904365617679197,0.15958733161769725,49.709878758000016,33.35827846656245,-17.760538414185856,1.878224504720996,1.1907696354796764
10,5,50,13.697379247000052,3.136945313470574,-29.03661708378268,0.10803411790082798,44.159002345000054,29.811858229072108,-17.70487818396291,1.6838217083061155,1.0535066721440005
10,5,100,14.195568818000037,3.245501757234437,-30.36327687754101,0.10688904792206591,45.403378531,30.610236958036573,-17.29966282676093,1.7694123443079741,1.1044030257536108
12,2,50,32.87574280500001,7.078578724121454,-25.05994273626152,0.2824658778600803,50.35474273899998,33.76781271563556,-20.48179033574805,1.6486748551809285,1.1021912642525893
12,2,100,31.585559664999963,6.827486058688126,-25.389025560508816,0.2689148523016926,49.45041305899998,33.19335681585209,-19.837634756987455,1.6732517370378706,1.1115169831433993
12,3,50,29.74513685300002,6.466051150273566,-25.71308136141216,0.2514693225362412,50.01328064000001,33.551022975178846,-19.16951471304885,1.7502280823176175,1.150724578405067
12,3,100,29.156659517000016,6.349660653071809,-25.920561600056168,0.2449661682121135,50.601262092,33.924236860848,-18.590312043590018,1.8248341814437243,1.1928869761510799
12,4,50,21.77469722900003,4.8542674385806395,-27.66896585801164,0.17544086987172564,44.65680996599999,30.131482496226504,-18.80777138929379,1.6020761775836272,1.0314220544988666
12,4,100,22.55815901,5.016189904030233,-27.903136535057715,0.1797715428058725,46.14731287600002,31.086601838988237,-18.04191626841266,1.7230210680787765,1.105721257969615
12,5,50,15.080031512999991,3.437345040311701,-29.374451570214543,0.11701818609601349,42.10361062400001,28.488798620693068,-18.35112249788956,1.552428121166396,0.978264147138243
12,5,100,16.27872813400002,3.6955678251850976,-29.684973041519825,0.1244928812977588,43.96783851900001,29.689034819777316,-17.56717028456053,1.690029432108965,1.0638148117844823
14,2,50,33.204993934,7.142360178607521,-24.74163302234492,0.2886777995679201,46.435890866000015,31.271200322915348,-20.4156329495127,1.5317281810585142,1.0345080284622765
14,2,100,31.12919033400001,6.738220818769602,-24.936315734916604,0.27021717604154877,44.60514395600001,30.098324298773793,-19.985955568828373,1.505973742167097,1.0116711157168776
14,3,50,29.430198245000017,6.40381179720102,-25.087102641087423,0.25526310825200343,46.381829182000025,31.23662591618812,-18.590301259007337,1.6802646434281647,1.1102640293577002
14,3,100,28.617765538999997,6.242723097066194,-25.387187822436697,0.24590053615741553,45.826879862000006,30.88150377671388,-18.24147192782687,1.6929282844552138,1.1141171851360945
14,4,50,21.678243479000002,4.834278152930183,-27.30971224546136,0.17701681033763358,42.44552373399999,28.709267121542027,-18.12844196056853,1.583658826499708,1.0210020200348782
14,4,100,21.31801671900002,4.759517418790904,-27.772201265093667,0.17137703177936595,42.598685071999995,28.807977662276517,-17.628024422549327,1.6342147578049686,1.0490796673947276
14,5,50,15.972268504999953,3.6297434566111564,-28.93228371730723,0.12545651397853022,40.11796702499997,27.205417130303687,-17.575628504407327,1.5479057903096645,0.9789260797772107
14,5,100,15.738250883999982,3.5793898832605864,-29.58089487656156,0.12100343475736829,40.32710835000002,27.34083595765395,-17.12611336099442,1.5964413747210193,1.006266198735559
16,2,50,31.635694862999998,6.837278097936839,-24.342502802850984,0.28087818879232335,48.39428345200001,32.52121042949738,-19.083182520985854,1.7041816999724064,1.1348602955003733
16,2,100,29.223524122999976,6.362905553463127,-24.729166577586316,0.2573036795841818,46.03792706200001,31.01660227524905,-18.87111255458641,1.6436022086949407,1.089082797050637
16,3,50,27.64205882799995,6.048236043289612,-24.702707705027326,0.244841015629178,47.552107365,31.9842462280028,-17.870228331428496,1.7898062428084303,1.1718201519367293
16,3,100,26.444250305999972,5.807927770516885,-25.234226381343216,0.2301607222962438,46.19615717500001,31.117854054960414,-17.73092663902206,1.755004388009622,1.1450669217242706
16,4,50,20.422628982000024,4.5729574774745485,-26.68740816537879,0.17135262626990447,43.39673818000001,29.321822114275122,-17.334477226076306,1.6915319528740225,1.0834602222323753
