date,total_value,return_pct,cummax,drawdown
2025-04-16,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-17,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-18,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-21,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-22,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-23,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-24,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-25,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-28,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-29,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-04-30,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-06,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-07,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-08,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-09,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-12,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-13,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-14,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-15,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-16,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-19,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-20,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-21,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-22,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-23,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-26,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-27,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-28,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-29,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-05-30,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2025-06-03,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
