date,symbol,side,posi_balance,posi_vwap,price,market_value
2022-01-28 16:00:00,SHSE.512200,多,71700,2.197371411524577,2.2119037285658987,158593.49733817493
2022-02-07 16:00:00,SHSE.512200,多,71700,2.197371411524577,2.2537958446372226,161597.16206048886
2022-02-08 16:00:00,SHSE.512200,多,71700,2.197371411524577,2.2761383065419283,163199.11657905625
2022-02-09 16:00:00,SHSE.512200,多,71700,2.197371411524577,2.2761383065419283,163199.11657905625
2022-02-10 16:00:00,SHSE.512200,多,71700,2.197371411524577,2.2984807684466344,164801.07109762367
2022-02-11 16:00:00,SHSE.512200,多,71700,2.197371411524577,2.2984807684466344,164801.07109762367
2022-02-14 16:00:00,SHSE.512200,多,34900,2.197371411524577,2.2426246136848698,78267.59901760195
2022-02-15 16:00:00,SHSE.512200,多,34900,2.197371411524577,2.2174893440420753,77390.37810706843
2022-02-16 16:00:00,SHSE.512200,多,34900,2.197371411524577,2.234246190470605,77975.1920474241
2022-02-17 16:00:00,SHSE.512200,多,34900,2.197371411524577,2.209110920827811,77097.9711368906
2022-04-12 16:00:00,SHSE.512200,多,59300,2.3599226474761963,2.3962290392797234,142096.3820292876
2022-04-13 16:00:00,SHSE.512200,多,59300,2.3599226474761963,2.3655081541607528,140274.63354173265
2022-04-14 16:00:00,SHSE.512200,多,59300,2.3599226474761963,2.457670809517665,145739.87900439755
2022-04-15 16:00:00,SHSE.512200,多,59300,2.3599226474761963,2.457670809517665,145739.87900439755
2022-04-18 16:00:00,SHSE.512200,多,59300,2.3599226474761963,2.3766793851131056,140937.08753720718
2022-08-18 16:00:00,SHSE.512200,多,43500,2.055506467819214,2.0555064952329563,89414.53254263359
2022-08-19 16:00:00,SHSE.512200,多,43500,2.055506467819214,2.0778489571376624,90386.42963548831
2022-08-22 16:00:00,SHSE.512200,多,82000,2.0725528685058037,2.094605803566192,171757.67589242774
2022-08-23 16:00:00,SHSE.512200,多,82000,2.0725528685058037,2.0778489571376624,170383.6144852883
2022-08-24 16:00:00,SHSE.512200,多,82000,2.0725528685058037,2.041542456542515,167406.48143648624
2022-08-25 16:00:00,SHSE.512200,多,82000,2.0725528685058037,2.063884918447221,169238.56331267214
2022-08-26 16:00:00,SHSE.512200,多,82000,2.0725528685058037,2.0471280720186917,167864.50190553273
2022-08-29 16:00:00,SHSE.512200,多,82000,2.0725528685058037,2.04992087975678,168093.51214005597
2022-08-30 16:00:00,SHSE.512200,多,117500,2.0716215711958865,2.0666777261853095,242834.63282677386
2022-08-31 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.061092110709133,239911.12168654308
2022-09-01 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.0890201880900157,243161.9498936778
2022-09-02 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.083434572613839,242511.78425225086
2022-09-05 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.1141554577328097,246087.69528009905
2022-09-06 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.1560475738041336,250963.93759080116
2022-09-07 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.1560475738041336,250963.93759080116
2022-09-08 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.1560475738041336,250963.93759080116
2022-09-09 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.2286605749944286,259416.09092935149
2022-09-13 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.1783900357088397,253564.60015650894
2022-09-14 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.1755972279707514,253239.51733579545
2022-09-15 16:00:00,SHSE.512200,多,116400,2.0716215711958865,2.223074959518252,258765.92528792453
2022-09-16 16:00:00,SHSE.512200,多,261100,2.098289171696249,2.136497919637516,557839.6068173554
2022-09-19 16:00:00,SHSE.512200,多,227500,2.098289171696249,2.139290727375604,486688.6404779499
2022-09-20 16:00:00,SHSE.512200,多,189800,2.098289171696249,2.105777034518545,399676.48115161987
2022-09-21 16:00:00,SHSE.512200,多,188700,2.098289171696249,2.1337051118994275,402630.15461542195
2022-09-22 16:00:00,SHSE.512200,多,188700,2.098289171696249,2.1001914190423685,396306.12077329494
2022-09-23 16:00:00,SHSE.512200,多,109700,2.098289171696249,2.0806417648757507,228246.40160686985
2022-09-26 16:00:00,SHSE.512200,多,109700,2.098289171696249,2.0555064952329563,225489.0625270553
2022-09-27 16:00:00,SHSE.512200,多,71300,2.098289171696249,2.083434572613839,148548.88502736672
2022-11-21 16:00:00,SHSE.512200,多,34700,2.008028745651245,1.9912719172569264,69097.13552881534
2022-11-22 16:00:00,SHSE.512200,多,34700,2.008028745651245,1.9717222630903086,68418.7625292337
2022-11-23 16:00:00,SHSE.512200,多,34700,2.008028745651245,1.9717222630903086,68418.7625292337
2022-11-24 16:00:00,SHSE.512200,多,69600,2.0122300365875505,2.005235955947368,139564.4225339368
2022-11-25 16:00:00,SHSE.512200,多,68000,2.0122300365875505,2.09739861130428,142623.10556869104
2022-11-28 16:00:00,SHSE.512200,多,103900,2.0831522122700545,2.09739861130428,217919.71571451472
2022-11-29 16:00:00,SHSE.512200,多,71300,2.0831522122700545,2.3068591916608994,164479.06036542213
2022-11-30 16:00:00,SHSE.512200,多,100800,2.1191977962870747,2.223074959518252,224085.9559194398
2022-12-01 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.214696536303987,229442.56116109306
2022-12-02 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.1616331892803102,223945.19840944014
2022-12-05 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.1755972279707514,225391.87281776985
2022-12-06 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.1783900357088397,225681.2076994358
2022-12-07 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.1337051118994275,221051.8495927807
2022-12-08 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.170011612494575,224813.203054438
2022-12-09 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.2202821517801636,230021.23092442495
2022-12-12 16:00:00,SHSE.512200,多,103600,2.1208730683152113,2.1420835351136924,221919.85423777855
2022-12-13 16:00:00,SHSE.512200,多,68200,2.1208730683152113,2.1616331892803102,147423.38350891715
2022-12-14 16:00:00,SHSE.512200,多,38700,2.1208730683152113,2.136497919637516,82682.46948997186
2023-07-21 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.7427120285670716,82430.27895122248
2023-07-24 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.7287479898766305,81769.77992116462
2023-07-25 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.843253107138249,87185.87196763918
2023-07-26 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.8683883767810434,88374.77022174335
2023-07-27 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.8600099535667787,87978.47080370864
2023-07-28 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.92145172380472,90884.66653596326
2023-07-31 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.9689294553522203,93130.36323816002
2023-08-01 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.943794185709426,91941.46498405586
2023-08-02 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.9689294553522203,93130.36323816002
2023-08-03 16:00:00,SHSE.512200,多,47300,1.7538833618164062,2.005235955947368,94847.66071631049
2023-08-04 16:00:00,SHSE.512200,多,47300,1.7538833618164062,1.98568630178075,93922.96207422948
2023-08-07 16:00:00,SHSE.512200,多,119500,1.846688690943698,1.9242445315428083,229947.2215193656
2023-08-08 16:00:00,SHSE.512200,多,119500,1.846688690943698,1.885145223209573,225274.85417354395
2023-08-09 16:00:00,SHSE.512200,多,119500,1.846688690943698,1.8879380309476612,225608.59469824552
