日期,Strategy,Benchmark
2025-07-16,0.9343313081825476,1.0470921255790007
2025-07-17,0.9421130585966528,1.0555841482243944
2025-07-18,0.944676345556097,1.0633041688111158
2025-07-21,0.9416440879310335,1.0697375193000505
2025-07-22,0.939649433795206,1.0810602161605753
2025-07-23,0.9386024876065161,1.0805455481214605
2025-07-24,0.9499283681915948,1.0872362326299523
2025-07-25,0.946251842070533,1.08157488419969
2025-07-28,0.9457708836857943,1.0844055584148213
2025-07-29,0.945978612245914,1.0898095728255264
2025-07-30,0.9364160865775423,1.0890375707668543
2025-07-31,0.9057096582764279,1.0692228512609356
2025-08-01,0.8957414033668435,1.063561502830673
2025-08-04,0.902680971641267,1.0684508492022635
2025-08-05,0.9135527212926897,1.0764282038085422
2025-08-06,0.9247656059820633,1.0792588780236736
