开盘,收盘,日期
0.761,0.724,2024-02-02
0.723,0.715,2024-02-05
0.708,0.762,2024-02-06
0.772,0.784,2024-02-07
0.798,0.812,2024-02-08
0.85,0.83,2024-02-19
0.83,0.819,2024-02-20
0.819,0.82,2024-02-21
0.827,0.841,2024-02-22
0.845,0.845,2024-02-23
0.847,0.852,2024-02-26
0.855,0.892,2024-02-27
0.893,0.848,2024-02-28
0.84,0.901,2024-02-29
0.901,0.916,2024-03-01
0.921,0.916,2024-03-04
0.916,0.914,2024-03-05
0.913,0.897,2024-03-06
0.9,0.876,2024-03-07
0.876,0.897,2024-03-08
0.898,0.908,2024-03-11
0.908,0.91,2024-03-12
0.915,0.914,2024-03-13
0.902,0.899,2024-03-14
0.897,0.905,2024-03-15
0.904,0.925,2024-03-18
0.924,0.917,2024-03-19
0.926,0.915,2024-03-20
0.918,0.91,2024-03-21
0.918,0.898,2024-03-22
0.898,0.87,2024-03-25
0.863,0.86,2024-03-26
0.868,0.827,2024-03-27
0.827,0.847,2024-03-28
0.852,0.848,2024-03-29
0.849,0.859,2024-04-01
0.858,0.847,2024-04-02
0.847,0.848,2024-04-03
0.84,0.814,2024-04-08
0.805,0.818,2024-04-09
0.808,0.796,2024-04-10
0.791,0.799,2024-04-11
0.805,0.808,2024-04-12
0.807,0.811,2024-04-15
0.808,0.785,2024-04-16
0.793,0.82,2024-04-17
0.82,0.819,2024-04-18
0.811,0.791,2024-04-19
0.787,0.79,2024-04-22
0.802,0.785,2024-04-23
0.786,0.805,2024-04-24
0.803,0.806,2024-04-25
0.804,0.83,2024-04-26
0.83,0.856,2024-04-29
0.854,0.849,2024-04-30
0.86,0.857,2024-05-06
0.856,0.85,2024-05-07
0.849,0.84,2024-05-08
0.819,0.859,2024-05-09
0.877,0.844,2024-05-10
0.841,0.836,2024-05-13
0.837,0.837,2024-05-14
0.832,0.825,2024-05-15
0.828,0.824,2024-05-16
0.822,0.836,2024-05-17
0.836,0.84,2024-05-20
0.834,0.83,2024-05-21
0.827,0.836,2024-05-22
0.833,0.821,2024-05-23
0.818,0.8,2024-05-24
0.801,0.824,2024-05-27
0.833,0.831,2024-05-28
0.82,0.823,2024-05-29
0.822,0.842,2024-05-30
0.842,0.845,2024-05-31
0.844,0.858,2024-06-03
0.858,0.853,2024-06-04
0.85,0.86,2024-06-05
0.862,0.849,2024-06-06
0.844,0.844,2024-06-07
0.845,0.881,2024-06-11
0.885,0.88,2024-06-12
0.88,0.887,2024-06-13
0.88,0.89,2024-06-14
0.893,0.907,2024-06-17
0.907,0.908,2024-06-18
0.915,0.91,2024-06-19
0.911,0.91,2024-06-20
0.9,0.912,2024-06-21
0.912,0.886,2024-06-24
0.886,0.852,2024-06-25
0.85,0.876,2024-06-26
0.869,0.865,2024-06-27
0.862,0.862,2024-06-28
0.862,0.858,2024-07-01
0.863,0.847,2024-07-02
0.841,0.851,2024-07-03
0.85,0.836,2024-07-04
0.833,0.836,2024-07-05
0.838,0.837,2024-07-08
0.837,0.876,2024-07-09
0.873,0.877,2024-07-10
0.89,0.894,2024-07-11
0.887,0.889,2024-07-12
0.894,0.889,2024-07-15
0.883,0.923,2024-07-16
0.923,0.905,2024-07-17
0.888,0.901,2024-07-18
0.894,0.934,2024-07-19
0.943,0.932,2024-07-22
0.923,0.888,2024-07-23
0.888,0.88,2024-07-24
0.871,0.871,2024-07-25
0.865,0.873,2024-07-26
0.877,0.86,2024-07-29
0.858,0.865,2024-07-30
0.863,0.902,2024-07-31
0.907,0.903,2024-08-01
0.885,0.884,2024-08-02
0.872,0.833,2024-08-05
0.842,0.839,2024-08-06
0.838,0.829,2024-08-07
0.829,0.832,2024-08-08
0.841,0.837,2024-08-09
0.834,0.828,2024-08-12
0.832,0.837,2024-08-13
0.837,0.831,2024-08-14
0.828,0.838,2024-08-15
0.842,0.832,2024-08-16
0.834,0.832,2024-08-19
0.832,0.818,2024-08-20
0.815,0.814,2024-08-21
0.811,0.802,2024-08-22
0.801,0.801,2024-08-23
0.802,0.797,2024-08-26
0.793,0.785,2024-08-27
0.783,0.782,2024-08-28
0.777,0.789,2024-08-29
0.79,0.823,2024-08-30
0.821,0.791,2024-09-02
0.792,0.796,2024-09-03
0.788,0.788,2024-09-04
0.791,0.786,2024-09-05
0.786,0.777,2024-09-06
0.777,0.772,2024-09-09
0.771,0.778,2024-09-10
0.776,0.774,2024-09-11
0.777,0.766,2024-09-12
0.766,0.756,2024-09-13
0.76,0.747,2024-09-18
0.759,0.759,2024-09-19
0.759,0.758,2024-09-20
0.758,0.751,2024-09-23
0.756,0.782,2024-09-24
0.783,0.789,2024-09-25
0.789,0.821,2024-09-26
0.84,0.875,2024-09-27
0.946,0.963,2024-09-30
1.059,1.059,2024-10-08
1.165,1.165,2024-10-09
1.238,1.145,2024-10-10
1.104,1.073,2024-10-11
1.073,1.126,2024-10-14
1.169,1.095,2024-10-15
1.054,1.075,2024-10-16
1.099,1.08,2024-10-17
1.09,1.188,2024-10-18
1.224,1.252,2024-10-21
1.236,1.226,2024-10-22
1.215,1.205,2024-10-23
1.192,1.213,2024-10-24
1.215,1.221,2024-10-25
1.225,1.218,2024-10-28
1.215,1.21,2024-10-29
1.21,1.188,2024-10-30
1.188,1.213,2024-10-31
1.205,1.154,2024-11-01
1.153,1.171,2024-11-04
1.166,1.245,2024-11-05
1.241,1.255,2024-11-06
1.24,1.299,2024-11-07
1.325,1.285,2024-11-08
1.414,1.354,2024-11-11
1.356,1.33,2024-11-12
1.32,1.326,2024-11-13
1.328,1.28,2024-11-14
1.28,1.229,2024-11-15
1.229,1.196,2024-11-18
1.196,1.237,2024-11-19
1.238,1.239,2024-11-20
1.239,1.245,2024-11-21
1.245,1.187,2024-11-22
1.186,1.169,2024-11-25
1.163,1.167,2024-11-26
1.167,1.211,2024-11-27
1.211,1.207,2024-11-28
1.198,1.23,2024-11-29
1.23,1.24,2024-12-02
1.24,1.226,2024-12-03
1.252,1.233,2024-12-04
1.216,1.234,2024-12-05
1.234,1.247,2024-12-06
1.241,1.225,2024-12-09
1.272,1.24,2024-12-10
1.234,1.252,2024-12-11
1.251,1.256,2024-12-12
1.254,1.242,2024-12-13
1.242,1.221,2024-12-16
1.22,1.203,2024-12-17
