开盘,收盘,日期
3396.654,3433.241,2021-11-11
3436.262,3430.141,2021-11-12
3435.623,3401.874,2021-11-15
3400.34,3393.715,2021-11-16
3413.431,3421.329,2021-11-17
3416.643,3383.906,2021-11-18
3385.834,3418.96,2021-11-19
3434.575,3505.727,2021-11-22
3501.218,3492.769,2021-11-23
3488.381,3478.662,2021-11-24
3477.596,3474.451,2021-11-25
3470.211,3468.865,2021-11-26
3455.608,3503.409,2021-11-29
3520.294,3495.593,2021-11-30
3492.435,3473.366,2021-12-01
3464.921,3466.914,2021-12-02
3467.413,3478.666,2021-12-03
3460.961,3405.935,2021-12-06
3429.765,3368.784,2021-12-07
3388.318,3424.704,2021-12-08
3422.379,3459.319,2021-12-09
3431.289,3466.797,2021-12-10
3473.389,3496.962,2021-12-13
3491.823,3495.06,2021-12-14
3492.581,3464.758,2021-12-15
3479.184,3490.449,2021-12-16
3480.513,3434.339,2021-12-17
3420.862,3332.606,2021-12-20
3328.895,3350.429,2021-12-21
3360.283,3368.699,2021-12-22
3379.808,3373.703,2021-12-23
3381.545,3297.106,2021-12-24
3296.408,3293.811,2021-12-27
3300.311,3328.559,2021-12-28
3326.076,3281.897,2021-12-29
3285.769,3322.795,2021-12-30
3342.187,3322.673,2021-12-31
3348.128,3250.159,2022-01-04
3242.435,3161.507,2022-01-05
3133.046,3127.48,2022-01-06
3137.075,3096.881,2022-01-07
3082.781,3095.689,2022-01-10
3094.703,3056.153,2022-01-11
3091.669,3136.685,2022-01-12
3145.02,3083.141,2022-01-13
3059.143,3119.408,2022-01-14
3124.628,3170.408,2022-01-17
3168.786,3144.333,2022-01-18
3139.23,3075.977,2022-01-19
3072.388,3065.994,2022-01-20
3052.977,3034.679,2022-01-21
3011.628,3056.434,2022-01-24
3035.824,2974.955,2022-01-25
2993.157,3004.412,2022-01-26
2993.995,2906.763,2022-01-27
2945.718,2908.945,2022-01-28
2972.194,2917.864,2022-02-07
2913.319,2846.482,2022-02-08
2844.838,2883.597,2022-02-09
2891.3,2826.517,2022-02-10
2800.749,2746.383,2022-02-11
2723.51,2732.01,2022-02-14
2744.385,2816.444,2022-02-15
2829.652,2818.397,2022-02-16
2813.48,2839.825,2022-02-17
2819.548,2826.813,2022-02-18
2830.601,2804.598,2022-02-21
2783.283,2765.91,2022-02-22
2770.214,2843.866,2022-02-23
2817.796,2783.899,2022-02-24
2827.829,2855.803,2022-02-25
2844.823,2881.306,2022-02-28
2895.388,2885.786,2022-03-01
2866.69,2834.636,2022-03-02
2850.669,2791.949,2022-03-03
2763.062,2748.638,2022-03-04
2718.444,2630.371,2022-03-07
2645.109,2582.986,2022-03-08
2594.962,2566.719,2022-03-09
2645.363,2635.194,2022-03-10
2589.696,2665.462,2022-03-11
2638.49,2570.447,2022-03-14
2547.717,2504.782,2022-03-15
2549.153,2635.083,2022-03-16
2684.841,2710.726,2022-03-17
2693.154,2713.795,2022-03-18
2730.209,2726.18,2022-03-21
2718.002,2688.234,2022-03-22
2707.565,2715.954,2022-03-23
2697.425,2706.215,2022-03-24
2702.653,2637.944,2022-03-25
2622.468,2594.128,2022-03-28
