开盘,收盘,日期
1.048171,1.044256,2023-05-19
1.043277,1.046213,2023-05-22
1.047192,1.029576,2023-05-23
1.029576,1.024682,2023-05-24
1.020767,1.011959,2023-05-25
1.010981,1.010981,2023-05-26
1.010981,1.006087,2023-05-29
1.00413,1.00413,2023-05-30
1.00413,1.002172,2023-05-31
1.002172,1.010002,2023-06-01
1.016853,1.049149,2023-06-02
1.043277,1.036426,2023-06-05
1.034469,1.024682,2023-06-06
1.028597,1.016853,2023-06-07
1.012938,1.022725,2023-06-08
1.029576,1.034469,2023-06-09
1.02664,1.028597,2023-06-12
1.028597,1.028597,2023-06-13
1.03349,1.030554,2023-06-14
1.031533,1.042299,2023-06-15
1.039363,1.048171,2023-06-16
1.045235,1.027618,2023-06-19
1.023703,1.020767,2023-06-20
1.017831,1.001194,2023-06-21
0.9982577,0.9933643,2023-06-26
0.9933643,1.009023,2023-06-27
1.007066,1.005108,2023-06-28
1.002172,0.9992365,2023-06-29
0.9963003,1.011959,2023-06-30
1.015874,1.029576,2023-07-03
1.037405,1.02664,2023-07-04
1.021746,1.047192,2023-07-05
1.047192,1.027618,2023-07-06
1.023703,1.02664,2023-07-07
1.028597,1.03349,2023-07-10
1.03349,1.038384,2023-07-11
1.038384,1.035448,2023-07-12
1.048171,1.056979,2023-07-13
1.056979,1.049149,2023-07-14
1.045235,1.036426,2023-07-17
1.034469,1.036426,2023-07-18
1.036426,1.039363,2023-07-19
1.040341,1.042299,2023-07-20
1.039363,1.032512,2023-07-21
1.029576,1.015874,2023-07-24
1.025661,1.049149,2023-07-25
1.048171,1.052085,2023-07-26
1.052085,1.043277,2023-07-27
1.034469,1.050128,2023-07-28
1.050128,1.064808,2023-07-31
1.065787,1.066766,2023-08-01
1.065787,1.056,2023-08-02
1.054043,1.053064,2023-08-03
1.056979,1.06383,2023-08-04
1.056,1.056979,2023-08-07
1.056,1.061872,2023-08-08
1.056979,1.051107,2023-08-09
1.051107,1.053064,2023-08-10
1.052085,1.029576,2023-08-11
1.023703,1.020767,2023-08-14
1.017831,1.013917,2023-08-15
1.008044,1.003151,2023-08-16
0.9992365,1.009023,2023-08-17
1.005108,0.9884709,2023-08-18
0.9874921,0.9796628,2023-08-21
0.9806414,0.9855348,2023-08-22
0.9825987,0.9630252,2023-08-23
0.9698759,0.9806414,2023-08-24
0.9737906,0.9659612,2023-08-25
1.012938,0.9708546,2023-08-28
0.9688972,0.9845562,2023-08-29
0.9855348,0.9855348,2023-08-30
0.9845562,0.9757479,2023-08-31
0.9777054,0.9972791,2023-09-01
1.002172,1.027618,2023-09-04
1.019789,1.022725,2023-09-05
1.019789,1.019789,2023-09-06
1.015874,1.003151,2023-09-07
1.002172,0.9933643,2023-09-08
0.994343,1.009023,2023-09-11
1.009023,1.006087,2023-09-12
1.00413,1.000215,2023-09-13
1.000215,1.006087,2023-09-14
1.009023,1.006087,2023-09-15
1.001194,1.007066,2023-09-18
1.005108,1.000215,2023-09-19
0.9982577,0.9923857,2023-09-20
0.9904282,0.9825987,2023-09-21
0.9796628,0.9884709,2023-09-22
0.9835775,0.9786841,2023-09-25
0.9767267,0.9708546,2023-09-26
0.9688972,0.9718332,2023-09-27
0.9718332,0.9688972,2023-09-28
0.9640038,0.9649825,2023-10-09
0.9640038,0.9688972,2023-10-10
0.9708546,0.9591104,2023-10-11
0.9630252,0.9855348,2023-10-12
0.9767267,0.9698759,2023-10-13
0.9728119,0.9561743,2023-10-16
0.957153,0.957153,2023-10-17
0.954217,0.941494,2023-10-18
0.9375793,0.9248564,2023-10-19
0.9238777,0.9297498,2023-10-20
0.9277925,0.9043041,2023-10-23
